"module name","license","repository"
"@babel/code-frame@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"@babel/compat-data@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-compat-data"
"@babel/core@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-core"
"@babel/generator@7.9.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator"
"@babel/helper-annotate-as-pure@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-annotate-as-pure"
"@babel/helper-builder-binary-assignment-operator-visitor@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor"
"@babel/helper-compilation-targets@7.8.7","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-compilation-targets"
"@babel/helper-create-regexp-features-plugin@7.8.8","MIT","https://github.com/babel/babel"
"@babel/helper-define-map@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-define-map"
"@babel/helper-explode-assignable-expression@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression"
"@babel/helper-function-name@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name"
"@babel/helper-get-function-arity@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity"
"@babel/helper-hoist-variables@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables"
"@babel/helper-member-expression-to-functions@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-member-expression-to-functions"
"@babel/helper-module-imports@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-module-imports"
"@babel/helper-module-transforms@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-module-transforms"
"@babel/helper-optimise-call-expression@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression"
"@babel/helper-plugin-utils@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-plugin-utils"
"@babel/helper-regex@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-regex"
"@babel/helper-remap-async-to-generator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator"
"@babel/helper-replace-supers@7.8.6","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers"
"@babel/helper-simple-access@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-simple-access"
"@babel/helper-split-export-declaration@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration"
"@babel/helper-validator-identifier@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-validator-identifier"
"@babel/helper-wrap-function@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-wrap-function"
"@babel/helpers@7.9.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-helpers"
"@babel/highlight@7.9.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-highlight"
"@babel/parser@7.9.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-parser"
"@babel/plugin-proposal-async-generator-functions@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-async-generator-functions"
"@babel/plugin-proposal-dynamic-import@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-dynamic-import"
